visa_type,country,processing_center,processing_time_days
Business,UK,Sao Paulo,42
Work,China,London,12
Tourist,France,London,10
Student,Canada,Beijing,21
Student,India,Sydney,57
Business,Germany,Beijing,14
Tourist,UK,New York,55
Family,USA,Berlin,23
Tourist,Brazil,New York,53
Business,Canada,Toronto,56
Business,India,Toronto,42
Tourist,Japan,Paris,16
Business,Brazil,Sao Paulo,52
Tourist,Canada,Toronto,46
Work,Australia,Sao Paulo,39
Tourist,Germany,Sydney,27
Tourist,Japan,Beijing,46
Business,Canada,Beijing,27
Business,China,London,45
Student,UK,New York,19
Student,Canada,Beijing,39
Work,Brazil,Tokyo,23
Student,Brazil,Tokyo,30
Tourist,UK,Beijing,32
Business,Canada,Tokyo,56
Student,France,Toronto,30
Student,USA,Tokyo,41
Work,China,Tokyo,39
Work,France,Tokyo,41
Tourist,Canada,Tokyo,50
Business,France,Berlin,50
Work,Australia,Tokyo,21
Student,India,Delhi,27
Business,Canada,Beijing,47
Business,Brazil,Sydney,56
Student,USA,Sydney,31
Work,Germany,Delhi,54
Student,Brazil,Delhi,48
Business,China,Delhi,53
Family,USA,Paris,13
Family,India,Delhi,49
Tourist,Canada,Tokyo,19
Student,Brazil,Sao Paulo,38
Student,France,New York,52
Tourist,France,Tokyo,25
Tourist,Brazil,Tokyo,43
Tourist,USA,New York,28
Business,Australia,Beijing,19
Student,Germany,Tokyo,21
Business,Brazil,Tokyo,17
Tourist,India,Paris,24
Student,Canada,Toronto,44
Business,Australia,Delhi,41
Business,Germany,New York,34
Tourist,Japan,Beijing,31
Student,UK,Tokyo,51
Tourist,France,Beijing,55
Student,Brazil,Toronto,53
Family,UK,Delhi,25
Work,Japan,Toronto,50
Work,France,New York,27
Work,Japan,Tokyo,59
Tourist,Canada,Sao Paulo,36
Family,Japan,Sao Paulo,60
Student,UK,Tokyo,29
Business,Germany,Toronto,54
Student,UK,Paris,28
Business,Australia,Sao Paulo,26
Student,France,Sydney,40
Family,USA,Sao Paulo,17
Business,France,Paris,60
Tourist,India,Tokyo,10
Student,China,Beijing,37
Student,Germany,Sao Paulo,52
Business,India,Beijing,58
Tourist,Australia,Berlin,35
Tourist,Brazil,Toronto,10
Family,Australia,Beijing,38
Tourist,Germany,New York,50
Tourist,Japan,New York,34
Tourist,Germany,Beijing,42
Work,UK,Sao Paulo,19
Family,China,Paris,44
Student,India,Paris,46
Business,Canada,Berlin,26
Student,Germany,Beijing,23
Family,UK,Berlin,29
Business,Australia,Tokyo,25
Family,UK,Paris,13
Tourist,China,Toronto,27
Business,Canada,London,54
Tourist,Australia,New York,48
Student,Australia,Beijing,13
Student,India,Tokyo,35
Business,France,Sao Paulo,22
Business,UK,Beijing,34
Family,China,Tokyo,30
Family,France,Sao Paulo,22
Tourist,Canada,Toronto,30
Business,Australia,London,24
Student,India,Sydney,40
Family,France,Tokyo,14
Family,Canada,Paris,30
Student,India,London,30
Family,Germany,Beijing,18
Tourist,USA,Beijing,59
Business,Australia,Delhi,54
Student,UK,Toronto,18
Business,Australia,London,18
Family,Japan,Berlin,18
Family,Australia,Berlin,23
Student,India,Toronto,31
Tourist,Australia,Toronto,13
Work,UK,Delhi,52
Student,China,Beijing,39
Work,China,Delhi,21
Work,Japan,Delhi,46
Tourist,France,Paris,38
Work,Germany,Tokyo,25
Work,Canada,New York,24
Tourist,Brazil,Tokyo,17
Work,China,Delhi,19
Work,UK,Tokyo,24
Work,India,Delhi,55
Student,Japan,Sao Paulo,42
Student,France,Sao Paulo,17
Student,India,Paris,50
Tourist,USA,Delhi,37
Family,India,Paris,22
Work,India,Delhi,30
Work,Japan,Paris,50
Tourist,Canada,New York,22
Work,UK,Toronto,42
Student,USA,Berlin,31
Family,France,Paris,51
Business,France,Sydney,24
Work,Australia,Paris,31
Student,USA,London,28
Business,India,Berlin,55
Family,Australia,Berlin,21
Business,India,New York,57
Student,Australia,Sao Paulo,34
Business,Brazil,London,35
Tourist,USA,Paris,34
Business,Germany,Tokyo,36
Work,Brazil,New York,48
Work,USA,Tokyo,38
Tourist,USA,London,39
Student,Australia,Delhi,30
Work,China,Delhi,32
Family,Australia,Berlin,19
Work,France,Paris,40
Work,Brazil,Delhi,11
Student,UK,Berlin,20
Business,Canada,Berlin,49
Work,Canada,Berlin,48
Tourist,Brazil,Sydney,33
Business,Japan,Beijing,59
Family,Germany,Beijing,15
Student,Japan,Sao Paulo,37
Family,France,Sydney,21
Business,UK,Paris,38
Business,USA,Paris,43
Business,UK,London,57
Family,Australia,Sao Paulo,27
Business,Brazil,Sydney,42
Family,China,Beijing,19
Business,India,Tokyo,18
Tourist,Brazil,Berlin,47
Business,Brazil,Paris,47
Family,Japan,Delhi,31
Work,Australia,Beijing,58
Business,India,Sydney,22
Work,UK,Sydney,25
Tourist,India,New York,45
Student,Japan,Berlin,58
Tourist,China,London,40
Business,USA,Sydney,58
Work,China,London,10
Work,USA,Sydney,16
Family,Australia,Sao Paulo,31
Work,Australia,Sao Paulo,39
Family,Germany,Paris,30
Student,Japan,Toronto,56
Business,Japan,Delhi,41
Family,China,London,56
Student,Japan,Delhi,11
Work,France,Paris,38
Work,India,Berlin,10
Student,Germany,Sao Paulo,51
Work,Germany,Beijing,38
Student,Brazil,Beijing,30
Family,China,Delhi,26
Family,Germany,Beijing,32
Student,Brazil,Delhi,59
Family,Brazil,Toronto,25
Family,Canada,Toronto,14
Family,Canada,New York,53
Tourist,Canada,Sao Paulo,57
Business,Australia,New York,60
Work,Germany,Tokyo,22
Tourist,Canada,New York,26
Family,Japan,Toronto,19
Student,Japan,Tokyo,60
Family,Germany,Paris,29
Business,Brazil,New York,40
Family,UK,New York,34
Student,China,Toronto,29
Business,China,Beijing,47
Family,Germany,London,42
Business,USA,Beijing,14
Work,Canada,New York,30
Work,China,New York,19
Family,Brazil,Beijing,29
Business,Japan,London,59
Student,India,Berlin,34
Family,Brazil,Tokyo,42
Work,UK,Delhi,23
Work,Australia,Berlin,39
Family,China,London,15
Business,UK,Beijing,21
Work,Australia,New York,29
Business,UK,Toronto,22
Work,Germany,Paris,44
Work,India,New York,37
Tourist,Japan,Paris,13
Work,Brazil,Tokyo,34
Student,USA,Toronto,59
Family,China,Tokyo,20
Family,Australia,Paris,59
Business,Australia,New York,36
Work,France,Toronto,48
Student,France,Tokyo,14
Business,China,Tokyo,26
Tourist,Australia,Paris,45
Business,Japan,New York,44
Business,Germany,Sydney,38
Work,France,Delhi,26
Tourist,France,Berlin,30
Business,USA,Sydney,12
Student,Germany,Paris,13
Student,UK,Berlin,28
Family,Germany,New York,59
Tourist,USA,New York,46
Tourist,India,New York,22
Family,Japan,Sydney,12
Business,Brazil,Sao Paulo,16
Tourist,Brazil,Paris,28
Student,India,Delhi,46
Student,India,New York,24
Work,UK,Toronto,58
Tourist,India,Tokyo,41
Business,Germany,Paris,28
Family,Germany,Delhi,40
Family,France,Paris,24
Business,USA,Berlin,52
Work,Germany,Tokyo,57
Family,Japan,Beijing,26
Tourist,Brazil,Sao Paulo,26
Work,Canada,Sydney,31
Tourist,Brazil,Beijing,56
Student,UK,Beijing,41
Work,Japan,Tokyo,44
Family,India,Delhi,53
Work,UK,Sao Paulo,54
Work,USA,Berlin,40
Work,USA,Paris,60
Work,UK,Sydney,28
Tourist,Brazil,Delhi,41
Student,Germany,Sydney,29
Business,Australia,Beijing,18
Work,Japan,Paris,13
Family,Brazil,Berlin,56
Work,Brazil,Paris,18
Family,UK,Delhi,19
Tourist,Canada,Sao Paulo,57
Family,Japan,Tokyo,40
Business,UK,Sao Paulo,45
Student,France,Sao Paulo,42
Family,Japan,London,32
Family,Germany,New York,51
Student,Australia,Tokyo,22
Business,Australia,Delhi,41
Work,Australia,Sydney,34
Family,Canada,Toronto,33
Student,Germany,Beijing,45
Tourist,Germany,Sao Paulo,35
Student,Germany,Delhi,36
Tourist,UK,New York,45
Business,Australia,Beijing,41
Work,Japan,Sydney,36
Student,Japan,Sydney,23
Family,China,Toronto,55
Business,Japan,Paris,58
Student,USA,London,24
Family,France,Tokyo,47
Student,USA,Sao Paulo,43
Tourist,Canada,Beijing,36
Student,Australia,Delhi,34
Student,USA,Sydney,39
Student,Japan,New York,42
Business,Australia,Beijing,52
Student,France,London,17
Family,China,London,14
Tourist,UK,New York,23
Tourist,China,Paris,42
Student,India,New York,58
Business,India,Delhi,30
Business,France,Toronto,42
Family,India,Delhi,38
Student,Canada,Sydney,18
Tourist,Brazil,Toronto,51
Business,Japan,Delhi,36
Student,UK,Berlin,39
Business,Brazil,London,18
Business,USA,New York,41
Tourist,Canada,Sao Paulo,50
Work,USA,Tokyo,32
Family,Brazil,London,19
Family,India,Paris,32
Tourist,Japan,Beijing,37
Business,Brazil,Sydney,38
Student,Japan,Paris,52
Business,India,Beijing,52
Tourist,China,London,58
Family,Canada,Tokyo,35
Business,USA,Sao Paulo,60
Family,Japan,Berlin,42
Student,Japan,Tokyo,50
Family,Japan,London,28
Family,France,Delhi,32
Work,Australia,London,13
Work,India,Berlin,40
Work,Brazil,Delhi,37
Family,Canada,Toronto,19
Tourist,France,Toronto,17
Family,China,London,41
Tourist,France,Paris,43
Tourist,Australia,Delhi,27
Work,India,Tokyo,42
Business,India,Berlin,27
Student,UK,Delhi,39
Work,India,New York,12
Work,China,New York,31
Business,UK,Delhi,59
Student,Germany,Delhi,25
Family,Japan,Sao Paulo,18
Family,Germany,New York,42
Work,Canada,Sydney,25
Student,India,Toronto,37
Work,Canada,Toronto,48
Tourist,India,New York,28
Work,Australia,Berlin,45
Work,France,London,46
Family,Germany,Tokyo,42
Family,India,Paris,50
Family,France,Tokyo,24
Tourist,Japan,Tokyo,34
Family,Brazil,Sao Paulo,40
Student,USA,Sydney,53
Business,India,Toronto,59
Student,Australia,New York,51
Student,China,Berlin,25
Family,Germany,Toronto,18
Business,UK,Sao Paulo,15
Business,UK,Paris,59
Business,France,Toronto,39
Tourist,Germany,Delhi,49
Family,Canada,London,51
Business,UK,Sao Paulo,22
Tourist,India,Delhi,10
Work,UK,Sao Paulo,57
Work,Japan,Toronto,51
Tourist,India,Sydney,22
Tourist,Canada,Berlin,44
Family,China,Toronto,42
Family,Australia,Toronto,55
Work,USA,Sydney,40
Business,China,Tokyo,27
Work,Japan,New York,24
Business,Canada,Sydney,47
Business,France,Sao Paulo,24
Family,USA,Berlin,55
Student,Japan,Beijing,17
Student,Germany,Toronto,52
Tourist,Germany,Berlin,40
Family,USA,Paris,23
Business,France,London,30
Student,Japan,London,16
Business,Brazil,Tokyo,45
Student,Canada,Delhi,56
Student,UK,Sao Paulo,48
Student,UK,Paris,35
Family,Australia,Toronto,45
Work,India,London,24
Business,Brazil,Berlin,45
Family,Japan,Beijing,51
Family,Australia,Sydney,35
Family,Japan,Toronto,53
Family,UK,Berlin,42
Family,Brazil,Berlin,56
Tourist,UK,London,41
Business,Brazil,Toronto,25
Family,Germany,New York,10
Business,Germany,New York,10
Tourist,China,Toronto,54
Tourist,France,Toronto,30
Business,USA,Tokyo,24
Student,India,Paris,37
Work,India,Paris,44
Student,USA,Sao Paulo,15
Student,Australia,Beijing,16
Student,France,Tokyo,37
Family,UK,Delhi,59
Tourist,Australia,Sydney,27
Student,France,Toronto,46
Tourist,Japan,London,46
Business,France,Delhi,40
Work,Germany,Toronto,16
Business,China,Delhi,47
Business,UK,Sydney,50
Family,Germany,London,50
Work,India,London,56
Business,Germany,London,37
Business,Australia,London,50
Work,UK,Sao Paulo,47
Work,UK,Sao Paulo,22
Business,USA,London,21
Work,India,New York,35
Business,Canada,Toronto,24
Business,Germany,Sydney,28
Family,Germany,Sydney,52
Student,Australia,New York,55
Business,Brazil,Delhi,43
Tourist,Australia,Beijing,40
Student,Germany,Sao Paulo,59
Student,France,Paris,54
Student,Canada,Delhi,26
Family,India,Berlin,44
Business,Germany,Toronto,26
Family,USA,Paris,42
Business,Canada,New York,43
Family,Germany,Delhi,27
Family,Germany,Tokyo,43
Tourist,Japan,Beijing,43
Family,Canada,Beijing,34
Work,Australia,New York,15
Tourist,Brazil,New York,51
Family,Australia,Toronto,59
Student,India,New York,13
Work,Brazil,Sydney,47
Work,Germany,Berlin,31
Work,Brazil,New York,29
Tourist,Germany,Paris,34
Family,China,Tokyo,19
Family,China,Sao Paulo,26
Student,Australia,London,25
Student,UK,Beijing,44
Work,Brazil,Berlin,10
Student,Australia,Delhi,29
Tourist,China,Beijing,38
Family,Brazil,Delhi,24
Work,France,New York,27
Student,Canada,Tokyo,37
Tourist,France,New York,25
Tourist,Japan,London,25
Student,China,Sydney,20
Family,India,Delhi,24
Student,Brazil,Berlin,59
Work,Germany,Paris,30
Student,Germany,Tokyo,57
Tourist,Canada,Tokyo,55
Student,Canada,Toronto,40
Family,India,Toronto,46
Business,UK,Beijing,41
Student,India,Beijing,23
Family,Germany,Sao Paulo,47
Family,Canada,Delhi,28
Tourist,China,Berlin,32
Family,Germany,Paris,57
Family,Japan,Beijing,46
Family,Australia,London,23
Family,Japan,London,15
Work,Australia,Berlin,56
Work,Brazil,Sydney,21
Tourist,Japan,Delhi,41
Student,Australia,Delhi,15
Family,Japan,Delhi,48
Student,UK,Toronto,16
Student,Canada,Delhi,29
Tourist,Canada,Berlin,58
Family,Brazil,Tokyo,26
Family,France,London,42
Business,Germany,Beijing,60
Student,USA,Berlin,54
Student,USA,New York,43
Work,Germany,Beijing,56
Business,Brazil,Berlin,53
Work,Brazil,Tokyo,22
Work,China,Paris,46
Work,Australia,Beijing,46
Tourist,Japan,New York,12
Tourist,Brazil,Tokyo,13
Work,China,Beijing,22
Business,Germany,Tokyo,19
Student,Japan,Tokyo,30
Business,India,Toronto,24
Family,Brazil,Sydney,28
Tourist,USA,Sydney,31
Student,Japan,Toronto,17
Student,Canada,Sao Paulo,55
Family,China,Berlin,12
Family,Germany,Berlin,27
Work,Canada,Berlin,11
Tourist,India,Sydney,42
Tourist,Japan,New York,48
Business,France,Paris,10
Work,UK,Sao Paulo,10
Work,Brazil,Beijing,26
Work,UK,Sydney,22
Work,UK,Berlin,42
Tourist,Germany,Delhi,36
Tourist,USA,Sydney,40
Work,Japan,Paris,41
Business,China,Toronto,15
Student,Germany,Paris,60
Student,France,Sydney,59
Business,Canada,Berlin,12
Work,France,Tokyo,38
Tourist,China,Berlin,20
Student,Brazil,New York,35
Family,USA,Paris,45
Family,UK,Delhi,16
Business,Australia,Delhi,59
Work,Brazil,Sao Paulo,43
Student,Australia,Sydney,16
Work,Germany,Paris,11
Student,China,Sao Paulo,44
Business,France,Delhi,26
Business,France,Delhi,45
Family,Germany,Toronto,50
Work,UK,London,36
Family,UK,Sao Paulo,53
Work,USA,Sao Paulo,35
Family,Germany,Delhi,15
Tourist,Australia,New York,17
Tourist,Germany,Beijing,25
Tourist,USA,Paris,16
Tourist,China,Sydney,17
Student,India,Beijing,10
Tourist,USA,Berlin,26
Business,Germany,Tokyo,37
Business,Canada,Sydney,49
Student,Brazil,Delhi,19
Tourist,UK,Paris,31
Tourist,USA,London,49
Tourist,UK,Toronto,41
Family,China,New York,37
Work,Brazil,Delhi,42
Family,Brazil,Berlin,48
Work,Canada,London,27
Tourist,France,Beijing,32
Tourist,Japan,New York,49
Family,USA,Beijing,38
Family,UK,Tokyo,31
Work,China,Tokyo,55
Business,Germany,Delhi,51
Work,Australia,Berlin,59
Family,Australia,London,23
Family,Brazil,Toronto,51
Student,Germany,Toronto,26
Family,India,Beijing,15
Student,France,Delhi,48
Business,Japan,Tokyo,60
Work,USA,Toronto,51
Work,India,New York,23
Student,China,New York,38
Work,USA,Beijing,50
Family,Australia,New York,58
Tourist,UK,Toronto,22
Student,Japan,New York,45
Work,France,Beijing,49
Student,Germany,Beijing,39
Student,Germany,London,60
Tourist,Germany,Sao Paulo,31
Family,Canada,Berlin,28
Student,France,New York,11
Work,China,Toronto,53
Business,Canada,New York,29
Student,UK,Tokyo,32
Student,UK,Sydney,32
Tourist,USA,Paris,32
Family,Canada,Sydney,57
Business,USA,London,54
Work,Brazil,Berlin,29
Business,China,New York,37
Work,Brazil,Beijing,42
Family,India,Sao Paulo,37
Work,USA,Toronto,22
Tourist,India,Beijing,56
Tourist,USA,New York,12
Tourist,China,New York,35
Tourist,India,Sydney,13
Business,Australia,Tokyo,57
Family,India,Berlin,27
Work,UK,Paris,20
Work,USA,Sydney,49
Tourist,USA,Paris,17
Tourist,China,Sao Paulo,58
Student,Japan,Beijing,58
Family,UK,Sao Paulo,13
Business,Australia,Berlin,48
Work,Brazil,London,26
Student,UK,London,23
Student,Brazil,London,30
Work,Canada,Sao Paulo,17
Business,Japan,Toronto,14
Student,UK,Sydney,41
Student,France,Beijing,26
Family,Australia,Toronto,17
Business,France,London,47
Student,USA,Paris,44
Business,Japan,Sao Paulo,59
Work,India,Sydney,12
Tourist,UK,Beijing,50
Student,China,Delhi,54
Family,Australia,Sao Paulo,29
Work,China,London,24
Business,USA,Paris,52
Work,UK,New York,38
Student,UK,Beijing,43
Business,Australia,Sao Paulo,39
Tourist,Canada,Toronto,25
Work,Canada,Sydney,26
Student,China,New York,27
Family,China,Berlin,53
Business,Japan,Tokyo,52
Work,Germany,Tokyo,35
Work,France,Beijing,13
Tourist,China,Sao Paulo,22
Tourist,UK,Beijing,20
Family,India,New York,55
Family,Japan,Tokyo,60
Student,Japan,Toronto,33
Student,USA,Berlin,31
Family,China,London,35
Family,China,Paris,28
Business,India,Berlin,39
Tourist,USA,Paris,60
Student,France,New York,30
Tourist,Australia,Paris,41
Tourist,India,Delhi,51
Family,Germany,Sao Paulo,44
Business,Germany,Sydney,58
Work,Australia,Sydney,40
Business,France,Sao Paulo,60
Business,Canada,Sao Paulo,52
Tourist,USA,Berlin,46
Business,China,Beijing,43
Student,France,Paris,27
Tourist,France,New York,19
Student,Canada,Paris,43
Work,Australia,Berlin,27
Tourist,Japan,Sao Paulo,58
Work,Brazil,Sydney,47
Tourist,Brazil,Paris,30
Family,Brazil,New York,60
Business,USA,Paris,13
Family,Canada,Sao Paulo,35
Work,Japan,Beijing,33
Business,UK,Berlin,11
Tourist,Australia,Sao Paulo,46
Business,China,Paris,30
Student,China,London,21
Business,UK,Paris,37
Student,Brazil,Delhi,41
Business,India,Tokyo,59
Student,France,New York,14
Work,Canada,New York,10
Family,USA,Toronto,31
Tourist,India,Paris,45
Business,India,Delhi,40
Family,China,London,25
Tourist,China,Paris,15
Tourist,Australia,Berlin,47
Student,Germany,Sydney,31
Work,India,Delhi,53
Work,Brazil,Beijing,54
Family,USA,London,48
Work,UK,Sao Paulo,25
Business,Japan,Sao Paulo,42
Work,China,Berlin,19
Family,Australia,Paris,19
Work,USA,Berlin,32
Business,USA,Toronto,47
Student,USA,Tokyo,18
Family,Canada,Beijing,11
Student,Japan,London,16
Student,Australia,Paris,11
Student,Japan,Delhi,33
Tourist,Australia,Sao Paulo,53
Tourist,Japan,New York,20
Student,Canada,Sao Paulo,22
Family,India,Toronto,29
Business,Australia,Tokyo,25
Business,China,Sydney,54
Work,Japan,Berlin,20
Family,Australia,London,17
Tourist,India,Toronto,14
Student,Australia,Beijing,58
Work,UK,Toronto,29
Business,UK,Beijing,52
Tourist,Germany,Sydney,24
Tourist,USA,Beijing,55
Student,Japan,Sydney,26
Business,Japan,Paris,51
Family,Germany,Tokyo,60
Tourist,Japan,Sydney,41
Student,Australia,Berlin,22
Family,Japan,New York,52
Business,Brazil,Beijing,23
Tourist,USA,Beijing,31
Family,Canada,Tokyo,18
Family,Australia,Sydney,37
Family,Australia,Paris,31
Tourist,China,Sao Paulo,22
Tourist,China,Berlin,43
Work,Canada,New York,27
Business,Australia,Toronto,35
Student,France,Tokyo,58
Family,Brazil,Sao Paulo,13
Work,India,Sao Paulo,37
Student,France,Sydney,20
Work,USA,Tokyo,26
Tourist,Germany,Tokyo,16
Family,China,New York,17
Student,France,London,22
Student,Australia,Sao Paulo,59
Student,Canada,New York,27
Student,Brazil,Toronto,44
Student,Brazil,Paris,33
Work,Canada,Sydney,23
Family,China,Paris,27
Tourist,UK,Delhi,51
Tourist,UK,Tokyo,59
Tourist,UK,Berlin,13
Tourist,Germany,Beijing,15
Work,France,Paris,52
Business,France,Berlin,43
Family,USA,Toronto,34
Student,UK,Toronto,42
Business,USA,Delhi,54
Tourist,Australia,Tokyo,10
Business,UK,Sydney,34
Family,Australia,New York,57
Student,China,Paris,26
Student,Brazil,Tokyo,36
Family,Brazil,Beijing,46
Family,Australia,Berlin,47
Tourist,UK,Berlin,29
Student,Canada,Berlin,43
Business,France,London,12
Work,UK,Berlin,19
Work,Japan,Toronto,43
Family,Japan,Berlin,32
Tourist,Germany,Beijing,21
Work,France,Paris,28
Student,Japan,Beijing,52
Family,India,Toronto,41
Business,Germany,Sao Paulo,40
Family,Brazil,Berlin,11
Business,UK,New York,38
Family,Australia,Berlin,48
Family,Japan,Berlin,30
Family,Brazil,Sydney,26
Business,France,New York,44
Business,USA,Paris,11
Family,China,Sydney,27
Work,Canada,Delhi,16
Tourist,Brazil,London,37
Tourist,Australia,Beijing,55
Tourist,Germany,Sao Paulo,14
Business,China,Sao Paulo,43
Business,China,Paris,36
Work,Canada,Berlin,28
Tourist,Japan,Sydney,37
Tourist,Japan,Sao Paulo,43
Family,India,Sydney,14
Business,Canada,Sao Paulo,46
Tourist,Canada,Tokyo,39
Work,Germany,Toronto,33
Work,France,London,46
Tourist,UK,Delhi,28
Business,India,New York,28
Work,USA,Berlin,29
Family,Australia,New York,60
Work,Australia,Tokyo,58
Student,Canada,Delhi,41
Student,Canada,Beijing,22
Business,Japan,Paris,37
Tourist,Germany,Paris,49
Business,Australia,Beijing,28
Business,Germany,Beijing,26
Business,UK,Beijing,33
Business,Germany,Delhi,25
Family,UK,London,53
Family,France,London,26
Work,Brazil,Toronto,12
Student,Brazil,Paris,27
Business,Japan,Toronto,23
Work,UK,Beijing,52
Student,Germany,Berlin,12
Tourist,France,Delhi,34
Family,UK,Sydney,53
Student,Australia,Tokyo,16
Tourist,Germany,New York,48
Student,China,Tokyo,34
Family,Australia,Berlin,59
Family,Germany,Berlin,26
Work,Germany,Beijing,21
Business,India,Sao Paulo,16
Student,USA,Toronto,37
Student,India,Sydney,43
Tourist,Japan,Sydney,58
Family,Germany,Paris,60
Student,Germany,Sao Paulo,36
Family,UK,Toronto,36
Student,Canada,Sao Paulo,44
Work,USA,Beijing,57
